Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
462,Julius Chestnut,TEN,RB,25,17,0,0,0,0,0,0,11,40,3.64,0,2,0,0,,0,0,0,0,,,4,4,4,4,,122,
463,Dylan Drummond,ATL,WR,25,9,0,0,0,0,0,0,0,0,,0,11,7,42,6,0,0,0,0,,,4,11.2,11.2,7.7,,183,
464,D'Wayne Eskridge,MIA,WR,28,13,0,0,0,0,0,0,0,0,,0,7,4,62,15.5,0,1,1,0,,,4,8.2,9.2,6.2,,184,
465,Kylen Granson,PHI,TE,27,17,3,0,0,0,0,0,0,0,,0,9,7,40,5.71,0,0,0,0,,,4,11,11,7.5,,95,
466,Jalin Hyatt,NYG,WR,24,8,0,0,0,0,0,0,0,0,,0,14,5,35,7,0,0,0,0,,,4,8.5,8.5,6,,188,
467,Tom Kennedy,DET,WR,29,6,0,0,0,0,0,0,0,0,,0,4,4,36,9,0,0,0,0,,,4,7.6,7.6,5.6,,187,
468,Keleki Latu,BUF,TE,23,5,0,0,0,0,0,0,0,0,,0,4,4,35,8.75,0,0,0,0,,,4,7.5,7.5,5.5,,97,
469,Albert Okwuegbunam,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,6,5,36,7.2,0,0,0,0,,,4,8.6,8.6,6.1,,96,
470,Dameon Pierce,2TM,RB,25,5,0,0,0,0,0,0,14,36,2.57,0,1,0,0,,0,0,0,0,,,4,3.6,3.6,3.6,,123,
471,Xavier Restrepo,TEN,WR,23,2,0,0,0,0,0,0,0,0,,0,7,3,41,13.67,0,0,0,0,,,4,7.1,7.1,5.6,,185,
472,Cedrick Wilson Jr.,MIA,WR,30,10,5,0,0,0,0,0,0,0,,0,9,5,44,8.8,0,0,0,0,,,4,9.4,9.4,6.9,,182,
473,Tyson Bagent,CHI,QB,25,3,0,3,4,47,0,0,2,7,3.5,0,0,0,0,,0,1,0,0,,,3,2.6,2.6,2.6,,65,
474,Teddy Bridgewater,TAM,QB,33,4,0,8,15,62,0,0,3,4,1.33,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,64,
475,Jalen Brooks,2TM,WR,25,6,0,0,0,0,0,0,0,0,,0,6,3,51,17,0,1,1,0,,,3,6.1,7.1,4.6,,192,
476,Beaux Collins,NYG,WR,23,9,0,0,0,0,0,0,0,0,,0,6,2,25,12.5,0,0,0,0,,,3,4.5,4.5,3.5,,197,
477,Devin Duvernay,CHI,WR,28,17,0,0,0,0,0,0,0,0,,0,5,2,26,13,0,0,0,0,,,3,4.6,4.6,3.6,,195,
478,Tai Felton,MIN,WR,22,17,0,0,0,0,0,0,0,0,,0,3,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4,,198,
479,Reggie Gilliam,BUF,FB,28,17,2,0,0,0,0,0,2,4,2,0,2,2,24,12,0,0,0,0,,,3,4.8,4.8,3.8,,125,
480,Tyler Goodson,IND,RB,25,11,0,0,0,0,0,0,9,24,2.67,0,3,2,8,4,0,0,0,0,,,3,5.2,5.2,4.2,,124,
481,KhaDarel Hodge,ATL,WR,30,12,1,0,0,0,0,0,0,0,,0,10,3,31,10.33,0,0,0,0,,,3,6.1,6.1,4.6,,193,
